"DOY","Hr","Min","Hour","Ta","Ts"
203,8,40,8.66666666666667,26.52,23.78
203,8,50,8.83333333333333,26.59,23.91
203,9,0,9,26.9,24.11
203,9,10,9.16666666666667,27.05,24.03
203,9,20,9.33333333333333,27.11,24.3
203,9,30,9.5,27.3,24.39
203,9,40,9.66666666666667,27.79,24.34
203,9,50,9.83333333333333,28.02,23.86
203,10,0,10,27.85,24.14
203,10,10,10.1666666666667,28.05,24.57
203,10,20,10.3333333333333,28.2,24.86
203,10,30,10.5,27.81,25.06
203,10,40,10.6666666666667,28.32,25.14
203,10,50,10.8333333333333,28.44,25
203,11,0,11,28.23,25.21
203,11,10,11.1666666666667,28.71,25.36
203,11,20,11.3333333333333,28.98,25.19
203,11,30,11.5,29.07,25.01
203,11,40,11.6666666666667,29.33,25.02
203,11,50,11.8333333333333,29.45,24.79
203,12,0,12,29.44,24.93
203,12,10,12.1666666666667,29.63,24.93
203,12,20,12.3333333333333,29.99,25.05
203,12,30,12.5,29.99,25.13
203,12,40,12.6666666666667,29.98,25.02
203,12,50,12.8333333333333,30.12,25.33
203,13,0,13,30.45,25.4
203,13,10,13.1666666666667,30.7,25.28
203,13,20,13.3333333333333,30.83,25.11
203,13,30,13.5,30.88,25.29
203,13,40,13.6666666666667,31.18,25.5
203,13,50,13.8333333333333,30.99,25.62
203,14,0,14,31.01,25.73
203,14,10,14.1666666666667,30.87,26.09
203,14,20,14.3333333333333,30.82,26.28
203,14,30,14.5,30.74,26.47
203,14,40,14.6666666666667,30.66,26.57
203,14,50,14.8333333333333,30.93,26.6
203,15,0,15,30.6,26.53
203,15,10,15.1666666666667,30.49,26.7
203,15,20,15.3333333333333,30.46,26.72
203,15,30,15.5,30.62,26.69
203,15,40,15.6666666666667,30.8,26.5
203,15,50,15.8333333333333,30.83,26.28
203,16,0,16,30.83,26.4
203,16,10,16.1666666666667,30.78,26.55
203,16,20,16.3333333333333,30.91,26.55
203,16,30,16.5,30.8,26.68
203,16,40,16.6666666666667,30.8,26.7
203,16,50,16.8333333333333,30.63,26.82
203,17,0,17,30.42,26.91
203,17,10,17.1666666666667,30.38,26.94
203,17,20,17.3333333333333,30.24,27.14
203,17,30,17.5,30.2,27.03
203,17,40,17.6666666666667,30.13,27.1
203,17,50,17.8333333333333,30,27.17
203,18,0,18,29.83,27.24
203,18,10,18.1666666666667,29.58,27.19
203,18,20,18.3333333333333,29.3,27.43
203,18,30,18.5,29.08,27.47
203,18,40,18.6666666666667,28.87,27.42
203,18,50,18.8333333333333,28.69,27.37
203,19,0,19,28.49,27.41
203,19,10,19.1666666666667,28.22,27.57
203,19,20,19.3333333333333,27.82,27.56
203,19,30,19.5,27.22,27.61
203,19,40,19.6666666666667,27.09,27.59
203,19,50,19.8333333333333,26.91,27.44
203,20,0,20,26.66,27.4
203,20,10,20.1666666666667,26.57,27.29
203,20,20,20.3333333333333,26.71,27.32
203,20,30,20.5,26.57,27.15
203,20,40,20.6666666666667,26.34,26.92
203,20,50,20.8333333333333,26.29,26.88
203,21,0,21,26.2,26.95
203,21,10,21.1666666666667,26.13,26.87
203,21,20,21.3333333333333,26.36,26.7
203,21,30,21.5,26.66,26.75
203,21,40,21.6666666666667,26.59,26.56
203,21,50,21.8333333333333,26.54,26.58
203,22,0,22,26.43,26.65
203,22,10,22.1666666666667,26.41,26.56
203,22,20,22.3333333333333,26.3,26.64
203,22,30,22.5,26.32,26.74
203,22,40,22.6666666666667,26.33,26.68
203,22,50,22.8333333333333,26.35,26.67
203,23,0,23,26.27,26.53
203,23,10,23.1666666666667,26.3,26.53
203,23,20,23.3333333333333,26.28,26.5
203,23,30,23.5,26.25,26.46
203,23,40,23.6666666666667,26.17,26.46
203,23,50,23.8333333333333,26.18,26.49
204,0,0,0,26.18,26.52
204,0,10,0.166666666666667,26.05,26.46
204,0,20,0.333333333333333,25.95,26.48
204,0,30,0.5,25.94,26.37
204,0,40,0.666666666666667,25.89,26.28
204,0,50,0.833333333333333,25.87,26.43
204,1,0,1,25.9,26.44
204,1,10,1.16666666666667,25.81,26.19
204,1,20,1.33333333333333,25.81,26.31
204,1,30,1.5,25.73,26.27
204,1,40,1.66666666666667,25.67,26.28
204,1,50,1.83333333333333,25.49,26.34
204,2,0,2,25.45,26.25
204,2,10,2.16666666666667,25.32,26.31
204,2,20,2.33333333333333,25.21,26.5
204,2,30,2.5,25.11,26.46
204,2,40,2.66666666666667,25.02,26.46
204,2,50,2.83333333333333,24.94,26.35
204,3,0,3,24.88,26.38
204,3,10,3.16666666666667,24.9,26.38
204,3,20,3.33333333333333,24.83,26.39
204,3,30,3.5,24.84,26.32
204,3,40,3.66666666666667,24.85,26.37
204,3,50,3.83333333333333,24.86,26.22
204,4,0,4,24.88,26.04
204,4,10,4.16666666666667,24.94,26.07
204,4,20,4.33333333333333,24.92,26.01
204,4,30,4.5,24.85,26.07
204,4,40,4.66666666666667,24.74,26.07
204,4,50,4.83333333333333,24.69,26.09
204,5,0,5,24.71,26.17
204,5,10,5.16666666666667,24.74,26.17
204,5,20,5.33333333333333,24.73,26.02
204,5,30,5.5,24.83,25.92
204,5,40,5.66666666666667,24.94,26.01
204,5,50,5.83333333333333,25.11,25.77
204,6,0,6,25.26,25.88
204,6,10,6.16666666666667,25.45,25.77
204,6,20,6.33333333333333,25.67,25.64
204,6,30,6.5,25.88,25.46
204,6,40,6.66666666666667,26.16,25.4
204,6,50,6.83333333333333,26.37,25.31
204,7,0,7,26.68,25.32
204,7,10,7.16666666666667,26.91,25.44
204,7,20,7.33333333333333,27.13,25.42
204,7,30,7.5,27.29,25.28
204,7,40,7.66666666666667,27.5,25.24
204,7,50,7.83333333333333,27.62,25.36
204,8,0,8,27.86,25.45
204,8,10,8.16666666666667,28.19,25.4
204,8,20,8.33333333333333,28.34,25.36
204,8,30,8.5,28.58,25.46
204,8,40,8.66666666666667,28.72,25.59
204,8,50,8.83333333333333,28.95,25.54
204,9,0,9,29.05,25.55
204,9,10,9.16666666666667,29.2,25.65
204,9,20,9.33333333333333,29.46,25.7
204,9,30,9.5,29.5,25.66
204,9,40,9.66666666666667,29.81,25.86
204,9,50,9.83333333333333,29.84,25.87
204,10,0,10,29.92,25.98
204,10,10,10.1666666666667,30.15,25.96
204,10,20,10.3333333333333,30.26,25.98
204,10,30,10.5,30.43,26.23
204,10,40,10.6666666666667,30.67,26.24
204,10,50,10.8333333333333,30.7,26.07
204,11,0,11,30.75,26.2
204,11,10,11.1666666666667,30.98,26.34
204,11,20,11.3333333333333,31.16,26.4
204,11,30,11.5,30.8,26.35
204,11,40,11.6666666666667,30.91,26.53
204,11,50,11.8333333333333,30.77,26.7
204,12,0,12,30.79,26.79
204,12,10,12.1666666666667,30.91,26.93
204,12,20,12.3333333333333,31.38,26.71
204,12,30,12.5,30.67,26.62
204,12,40,12.6666666666667,31.34,26.88
204,12,50,12.8333333333333,30.85,26.83
204,13,0,13,31.48,27.19
204,13,10,13.1666666666667,31.64,26.92
204,13,20,13.3333333333333,31.68,26.72
204,13,30,13.5,31.51,26.78
204,13,40,13.6666666666667,31.58,26.93
204,13,50,13.8333333333333,31.59,26.92
204,14,0,14,31.74,27.08
204,14,10,14.1666666666667,31.67,27.1
204,14,20,14.3333333333333,31.73,27.29
204,14,30,14.5,31.77,27.33
204,14,40,14.6666666666667,31.84,27.36
204,14,50,14.8333333333333,31.55,27.5
204,15,0,15,31.65,27.54
204,15,10,15.1666666666667,31.63,27.71
204,15,20,15.3333333333333,31.75,27.66
204,15,30,15.5,31.79,27.63
204,15,40,15.6666666666667,31.37,27.59
204,15,50,15.8333333333333,31.54,27.66
204,16,0,16,31.41,27.77
204,16,10,16.1666666666667,31.39,27.81
204,16,20,16.3333333333333,31.26,27.95
204,16,30,16.5,31.22,28.07
204,16,40,16.6666666666667,31.39,28.13
204,16,50,16.8333333333333,31.46,28.01
204,17,0,17,31.26,27.83
204,17,10,17.1666666666667,31.05,27.94
204,17,20,17.3333333333333,30.67,28.2
204,17,30,17.5,30.71,28.4
